,Classifier,AUC,AUC Type
0,ETC,0.958168864525885,Test
1,ETC,0.9603410511208116,Training
2,DTC,0.9626734566803059,Test
3,DTC,0.9596648003935361,Training
4,SVC,0.9756882672122397,Test
5,SVC,0.9717608580188257,Training
6,NuSVC,0.9759773616794165,Test
7,NuSVC,0.9710741909696848,Training
8,LSVC,0.9354735589752713,Test
9,LSVC,0.9337226376443889,Training
10,MLP,0.9804638854296388,Test
11,MLP,0.9768192341128976,Training
12,KNN,0.9783137453300126,Test
13,KNN,0.9717617083176266,Training
14,GNB,0.9314707125066715,Test
15,GNB,0.9296469202562785,Training
16,BNB,0.9203030488347269,Test
17,BNB,0.9208895981226242,Training
18,SGD,0.9294943070628001,Test
19,SGD,0.927620790450025,Training
20,Ridge,0.9205851939156733,Test
21,Ridge,0.9218193057450493,Training
22,Random Forest,0.975329678882761,Test
23,Random Forest,0.9726237344370251,Training
24,Gradient Boosting,0.9796160603095534,Test
25,Gradient Boosting,0.9764516048447385,Training
26,Extra Trees Ensemble,0.9753018813378401,Test
27,Extra Trees Ensemble,0.9719188397510793,Training
28,Bagging,0.9769711239103362,Test
29,Bagging,0.9732795745509989,Training
30,AdaBoost,0.9778912226472158,Test
31,AdaBoost,0.9726532351434469,Training
32,QDA,0.9721996753246754,Test
33,QDA,0.9670722560955415,Training
34,LDA,0.9205851939156733,Test
35,LDA,0.9218175695661186,Training
